epoch,bpd,learning_rate,loss,val_bpd,val_learning_rate,val_loss
0,17.827003479003906,9.999999974752427e-07,6.811564922332764,NA,NA,NA
1,15.73420238494873,1.9999999949504854e-06,5.360942840576172,NA,NA,NA
2,14.479528427124023,3.000000106112566e-06,4.491272926330566,NA,NA,NA
3,13.940463066101074,3.999999989900971e-06,4.117620468139648,NA,NA,NA
4,13.67555046081543,4.999999873689376e-06,3.9339919090270996,NA,NA,NA
5,13.461148262023926,6.000000212225132e-06,3.78538179397583,NA,NA,NA
6,13.266218185424805,7.000000096013537e-06,3.650268077850342,NA,NA,NA
7,13.077157974243164,7.999999979801942e-06,3.5192158222198486,NA,NA,NA
8,12.889490127563477,9.000000318337698e-06,3.3891334533691406,NA,NA,NA
9,12.705105781555176,9.999999747378752e-06,3.261331558227539,NA,NA,NA
10,12.529118537902832,1.1000000085914508e-05,3.139343738555908,NA,NA,NA
11,12.350682258605957,1.2000000424450263e-05,3.0156607627868652,NA,NA,NA
12,12.179644584655762,1.2999999853491317e-05,2.8971076011657715,NA,NA,NA
13,12.003580093383789,1.4000000192027073e-05,2.775071620941162,NA,NA,NA
14,11.824810981750488,1.4999999621068127e-05,2.651156425476074,NA,NA,NA
15,11.645277976989746,1.5999999959603883e-05,2.526715040206909,NA,NA,NA
16,11.462491035461426,1.700000029813964e-05,2.4000115394592285,NA,NA,NA
17,11.283422470092773,1.8000000636675395e-05,2.2758982181549072,NA,NA,NA
18,11.10244083404541,1.8999999156221747e-05,2.150444507598877,NA,NA,NA
19,10.924620628356934,1.9999999494757503e-05,2.0271902084350586,NA,NA,NA
20,10.748822212219238,2.099999983329326e-05,1.905339002609253,NA,NA,NA
21,10.571697235107422,2.2000000171829015e-05,1.7825639247894287,NA,NA,NA
22,10.394621849060059,2.300000051036477e-05,1.6598271131515503,NA,NA,NA
23,10.234719276428223,2.4000000848900527e-05,1.5489916801452637,NA,NA,NA
24,10.077420234680176,2.499999936844688e-05,1.4399617910385132,NA,NA,NA
25,9.915129661560059,2.5999999706982635e-05,1.3274699449539185,NA,NA,NA
26,9.764694213867188,2.700000004551839e-05,1.2231947183609009,NA,NA,NA
27,9.62163257598877,2.8000000384054147e-05,1.1240321397781372,NA,NA,NA
28,9.480189323425293,2.9000000722589903e-05,1.0259863138198853,NA,NA,NA
29,9.332291603088379,2.9999999242136255e-05,0.9234737157821655,NA,NA,NA
30,9.202608108520508,3.099999958067201e-05,0.8335858583450317,NA,NA,NA
31,9.070919036865234,3.199999991920777e-05,0.7423046827316284,NA,NA,NA
32,8.943655967712402,3.300000025774352e-05,0.6540915966033936,NA,NA,NA
33,8.82707405090332,3.400000059627928e-05,0.5732854604721069,NA,NA,NA
34,8.709153175354004,3.5000000934815034e-05,0.4915466904640198,NA,NA,NA
35,8.581218719482422,3.600000127335079e-05,0.4028688669204712,NA,NA,NA
36,8.470568656921387,3.7000001611886546e-05,0.3261723518371582,NA,NA,NA
37,8.365839004516602,3.7999998312443495e-05,0.2535804212093353,NA,NA,NA
38,8.257354736328125,3.899999865097925e-05,0.17838284373283386,NA,NA,NA
39,8.144417762756348,3.9999998989515007e-05,0.10010374337434769,NA,NA,NA
40,8.052389144897461,4.099999932805076e-05,0.03631206974387169,NA,NA,NA
41,7.96415376663208,4.199999966658652e-05,-0.024847259745001793,NA,NA,NA
42,7.862892150878906,4.3000000005122274e-05,-0.09503625333309174,NA,NA,NA
43,7.776984691619873,4.400000034365803e-05,-0.15458224713802338,NA,NA,NA
44,7.704047203063965,4.5000000682193786e-05,-0.2051408588886261,NA,NA,NA
45,7.625600814819336,4.600000102072954e-05,-0.2595125138759613,NA,NA,NA
46,7.550027370452881,4.70000013592653e-05,-0.3118954598903656,NA,NA,NA
47,7.474059104919434,4.8000001697801054e-05,-0.36455461382865906,NA,NA,NA
48,7.408699989318848,4.8999998398358e-05,-0.4098583161830902,NA,NA,NA
49,7.346081256866455,4.999999873689376e-05,-0.45326167345046997,NA,NA,NA
50,7.280111312866211,5.0999999075429514e-05,-0.49898892641067505,NA,NA,NA
51,7.2145185470581055,5.199999941396527e-05,-0.54445481300354,NA,NA,NA
52,7.15916109085083,5.2999999752501026e-05,-0.5828231573104858,NA,NA,NA
53,7.108868598937988,5.400000009103678e-05,-0.6176854372024536,NA,NA,NA
54,7.064956188201904,5.500000042957254e-05,-0.648123562335968,NA,NA,NA
